,,,,,,Distance.Time,
"780|""780""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""17908""|""2912""|""OK""",
"781|""781""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""21602""|""3378""|""OK""",
"782|""782""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""13976""|""3018""|""OK""",
"783|""783""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""13706""|""3227""|""OK""",
"784|""784""|""200 E 115th St", Chicago,IL 60628,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""35693""|""5566""|""OK""",
"785|""785""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""36158""|""5721""|""OK""",
"786|""786""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""7245""|""2255""|""OK""",
"787|""787""|""200 E 115th St", Chicago,IL 60628,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""35693""|""5566""|""OK""",
"788|""788""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""8081""|""2828""|""OK""",
"789|""789""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""7838""|""2656""|""OK""",
"790|""790""|""29 E Madison St", Chicago,IL 60602,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""13195""|""1349""|""OK""",
"791|""791""|""641 W 63rd St", Chicago,IL 60637,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""27113""|""4104""|""OK""",
"792|""792""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""13251""|""2175""|""OK""",
"793|""793""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""27164""|""4585""|""OK""",
"794|""794""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""21783""|""4236""|""OK""",
"795|""795""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""30883""|""5316""|""OK""",
"796|""796""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""32399""|""5722""|""OK""",
"797|""797""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""32396""|""5209""|""OK""",
"798|""798""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""36065""|""6168""|""OK""",
"799|""799""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""17072""|""3354""|""OK""",
"800|""800""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""33202""|""5211""|""OK""",
"801|""801""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""14656""|""2909""|""OK"""
"802|""802""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""14480""|""2780""|""OK""",
"803|""803""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""11298""|""2449""|""OK""",
"804|""804""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""11047""|""2490""|""OK""",
"805|""805""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""14701""|""2942""|""OK""",
"806|""806""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""14586""|""2232""|""OK""",
"807|""807""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""11684""|""2394""|""OK""",
"808|""808""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""12635""|""2709""|""OK""",
"809|""809""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""17908""|""2912""|""OK""",
"810|""810""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""9522""|""2018""|""OK""",
"811|""811""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""17166""|""2559""|""OK""",
"812|""812""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""8555""|""1370""|""OK""",
"813|""813""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""9991""|""2335""|""OK""",
"814|""814""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""9246""|""2229""|""OK""",
"815|""815""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""9045""|""2193""|""OK""",
"816|""816""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""3801 W Irving Park Rd", Chicago,IL 60618,"USA""|""34741""|""4859""|""OK""",
"817|""817""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""37809""|""6850""|""OK""",
"818|""818""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""18726""|""3471""|""OK""",
"819|""819""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""18726""|""3471""|""OK""",
"820|""820""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""33983""|""6086""|""OK""",
"821|""821""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""28665""|""5319""|""OK""",
"822|""822""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""31622""|""5584""|""OK""",
"823|""823""|""641 W 63rd St", Chicago,IL 60637,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""38097""|""5704""|""OK""",
"824|""824""|""654 E 47th St", Chicago,IL 60653,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""28310""|""5485""|""OK""",
"825|""825""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""33209""|""5712""|""OK""",
"826|""826""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""39938""|""6008""|""OK""",
"827|""827""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""37492""|""7183""|""OK""",
"828|""828""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""32742""|""7247""|""OK""",
"829|""829""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""23077""|""4989""|""OK""",
"830|""830""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""44697""|""5381""|""OK""",
"831|""831""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""23913""|""4787""|""OK""",
"832|""832""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""23844""|""5905""|""OK""",
"833|""833""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""20027""|""4798""|""OK""",
"834|""834""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""20964""|""5276""|""OK""",
"835|""835""|""200 E 115th St", Chicago,IL 60628,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""44606""|""7617""|""OK""",
"836|""836""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""47255""|""5825""|""OK""",
"837|""837""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""14480""|""3831""|""OK""",
"838|""838""|""200 E 115th St", Chicago,IL 60628,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""44606""|""7617""|""OK""",
"839|""839""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""10458""|""3289""|""OK""",
"840|""840""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""14536""|""4412""|""OK""",
"841|""841""|""29 E Madison St", Chicago,IL 60602,"USA""|""3643 N Neva Ave", Chicago,IL 60634,"USA""|""22929""|""2001""|""OK""",
"842|""842""|""641 W 63rd St", Chicago,IL 60637,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""38097""|""5704""|""OK""",
"843|""843""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""19255""|""3780""|""OK""",
"844|""844""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""35514""|""6387""|""OK""",
"845|""845""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""27955""|""6404""|""OK""",
"846|""846""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""36888""|""7161""|""OK""",
"847|""847""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""38413""|""7546""|""OK""",
"848|""848""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""38401""|""7066""|""OK""",
"849|""849""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""40494""|""7361""|""OK""",
"850|""850""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""23077""|""4989""|""OK""",
"851|""851""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""44697""|""5381""|""OK""",
"852|""852""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""20867""|""5937""|""OK"""
"853|""853""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""20691""|""5804""|""OK""",
"854|""854""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""19104""|""4253""|""OK""",
"855|""855""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""17051""|""4005""|""OK""",
"856|""856""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""20935""|""5949""|""OK""",
"857|""857""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""20591""|""3837""|""OK""",
"858|""858""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""21601""|""3630""|""OK""",
"859|""859""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""17488""|""4150""|""OK""",
"860|""860""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""23913""|""4787""|""OK""",
"861|""861""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""15532""|""3572""|""OK""",
"862|""862""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""19045""|""4737""|""OK""",
"863|""863""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""14559""|""3005""|""OK""",
"864|""864""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""17249""|""4384""|""OK""",
"865|""865""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""16709""|""4215""|""OK""",
"866|""866""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""16885""|""4368""|""OK""",
"867|""867""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""3632 N Neva Ave", Chicago,IL 60634,"USA""|""40724""|""7003""|""OK""",
"868|""868""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""36166""|""6977""|""OK""",
"869|""869""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""18410""|""3925""|""OK""",
"870|""870""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""18410""|""3925""|""OK""",
"871|""871""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""34341""|""6337""|""OK""",
"872|""872""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""32267""|""5281""|""OK""",
"873|""873""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""27076""|""5802""|""OK""",
"874|""874""|""641 W 63rd St", Chicago,IL 60637,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""36720""|""5701""|""OK""",
"875|""875""|""654 E 47th St", Chicago,IL 60653,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""31841""|""5466""|""OK""",
"876|""876""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""31832""|""5709""|""OK""",
"877|""877""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""25121""|""6400""|""OK""",
"878|""878""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""41648""|""6909""|""OK""",
"879|""879""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""29539""|""7238""|""OK""",
"880|""880""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""27720""|""5069""|""OK""",
"881|""881""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""38671""|""5743""|""OK""",
"882|""882""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""27515""|""4942""|""OK""",
"883|""883""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""19414""|""4055""|""OK""",
"884|""884""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""20857""|""4511""|""OK""",
"885|""885""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""16633""|""3356""|""OK""",
"886|""886""|""200 E 115th St", Chicago,IL 60628,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""40060""|""7366""|""OK""",
"887|""887""|""11250 S Halsted St", Chicago,IL 60628,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""41229""|""6187""|""OK""",
"888|""888""|""845 W Wilson Ave", Chicago,IL 60640,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""16140""|""4830""|""OK""",
"889|""889""|""200 E 115th St", Chicago,IL 60628,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""40060""|""7331""|""OK""",
"890|""890""|""4909 W Division St #411", Chicago,IL 60651,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""8068""|""2387""|""OK""",
"891|""891""|""2849 N Clark St 1st Fl", Chicago,IL 60657,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""13454""|""3564""|""OK""",
"892|""892""|""29 E Madison St", Chicago,IL 60602,"USA""|""2709 N New England Ave", Chicago,IL 60707,"USA""|""24855""|""2308""|""OK""",
"893|""893""|""641 W 63rd St", Chicago,IL 60637,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""36720""|""5701""|""OK""",
"894|""894""|""18 S Michigan Ave", Chicago,IL 60603,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""18939""|""4234""|""OK""",
"895|""895""|""400 W 76th St #100", Chicago,IL 60620,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""33877""|""6571""|""OK""",
"896|""896""|""1642 W 59th St 2nd Fl", Chicago,IL 60636,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""24752""|""6395""|""OK""",
"897|""897""|""2525 E 83rd St", Chicago,IL 60617,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""42146""|""7276""|""OK""",
"898|""898""|""8550 S Manistee Ave", Chicago,IL 60617,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""39558""|""7711""|""OK""",
"899|""899""|""2320 E 93rd St", Chicago,IL 60617,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""38016""|""6880""|""OK""",
"900|""900""|""8910 S Commercial Ave", Chicago,IL 60617,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""42815""|""7186""|""OK""",
"901|""901""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""27720""|""5069""|""OK""",
"902|""902""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""38671""|""5743""|""OK""",
"903|""903""|""251 E Huron St 9th Fl",Suite 940, Chicago,IL 60611,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""16848""|""4350""|""OK"""
"904|""904""|""150 E Huron St #825", Chicago,IL 60611,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""16672""|""4221""|""OK""",
"905|""905""|""1200 N LaSalle Dr", Chicago,IL 60610,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""16553""|""4870""|""OK""",
"906|""906""|""1276 N Clybourn Ave", Chicago,IL 60610,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""15027""|""3823""|""OK""",
"907|""907""|""233 E Erie St #602", Chicago,IL 60611,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""16746""|""4274""|""OK""",
"908|""908""|""328 S Jefferson St #770", Chicago,IL 60661,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""17210""|""3164""|""OK""",
"909|""909""|""22 N Sangamon St", Chicago,IL 60607,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""17582""|""3483""|""OK""",
"910|""910""|""1460 N Halsted St #201", Chicago,IL 60642,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""15743""|""4296""|""OK""",
"911|""911""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""27515""|""4898""|""OK""",
"912|""912""|""1701 W Superior St 2nd Fl", Chicago,IL 60622,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""12794""|""3202""|""OK""",
"913|""913""|""2020 W Harrison St", Chicago,IL 60612,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""17827""|""4300""|""OK""",
"914|""914""|""1152 N Milwaukee Ave", Chicago,IL 60642,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""12535""|""2823""|""OK""",
"915|""915""|""2409 W Warren Blvd", Chicago,IL 60612,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""12932""|""2318""|""OK""",
"916|""916""|""1925 N Clybourn Ave #401", Chicago,IL 60614,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""14720""|""4033""|""OK""",
"917|""917""|""2020 N Clybourn Ave", Chicago,IL 60614,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""12945""|""3976""|""OK""",
"918|""918""|""1350 W 103rd St", Chicago,IL 60643,"USA""|""2700 N New England Ave", Chicago,IL 60707,"USA""|""39087""|""7409""|""OK""",
"919|""919""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""35817""|""6102""|""OK""",
"920|""920""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""16577""|""3239""|""OK""",
"921|""921""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""16577""|""3239""|""OK""",
"922|""922""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""31287""|""5850""|""OK""",
"923|""923""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""26506""|""4684""|""OK""",
"924|""924""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""26727""|""4649""|""OK""",
"925|""925""|""641 W 63rd St", Chicago,IL 60637,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""30959""|""5104""|""OK""",
"926|""926""|""654 E 47th St", Chicago,IL 60653,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""26080""|""4869""|""OK""",
"927|""927""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""26071""|""5111""|""OK""",
"928|""928""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""32800""|""5408""|""OK""",
"929|""929""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""35287""|""6248""|""OK""",
"930|""930""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""29259""|""6453""|""OK""",
"931|""931""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""20918""|""4354""|""OK""",
"932|""932""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""37359""|""6314""|""OK""",
"933|""933""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""21754""|""4242""|""OK""",
"934|""934""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""25448""|""4708""|""OK""",
"935|""935""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""16899""|""4059""|""OK""",
"936|""936""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""16050""|""3987""|""OK""",
"937|""937""|""200 E 115th St", Chicago,IL 60628,"USA""|""2542 N Luna Ave", Chicago,IL 60639,"USA""|""40256""|""5700""|""OK""",
